,File/Import Level,Error/Warning,Field,Field Limit,Validation,Message,,General Notes ,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,External ID,,External ID not provided,External Id required,,Red text means these fields are required - do not omit,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,External ID Type,,External ID Type not provided,External Id Type required,,Do not omit any dummy fields from CSV file,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,External ID Type,,External ID Type not one of the acceptable options,External ID Type not valid,,Yellow cells indicate Key Fields,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Certification,,Certification is not provided,Certification required,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,,,Certification does not match a value from Settings > Configurable Lists,Certification is not supported,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Certification Number,50,Validate field does not exceed character limit ,Certification Number exceeds character limit of 50,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Classification,200,Validate field does not exceed character limit ,Classification exceeds character limit of 200,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Status,,Status not provided,Status required,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Status,,Status matches a value on the statusdrop-down ,Status not supported,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Issue Date,,Issue date entered is before Expiration date entered,Issue Date must be before Expiration Date,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Date does not adhere to m/d/yyyy format OR date is invalid (ie - 9/31/2022),Issue Date must be formatted as m/d/yyyy,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Expiration Date,,Date does not adhere to m/d/yyyy format OR date is invalid (ie - 9/31/2022), must be formatted as m/d/yyyy,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Monitor Expiration Date,,"If not left empty, validate field must be T or F",Monitor Expiration Date must be T or F,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Record Viewable by Provider,,"If not left empty, validate field must be T or F",Record Viewable by Provider must be T or F,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,File Viewable by Provider,,"If not left empty, validate field must be T or F",File Viewable by Provider must be T or F,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Warning,,,Record Viewable by Provider = 'F' and File Viewable by Provider = 'T',File Viewable by Provider must be set to ‘F’ on records where Record Viewable by Provider is set to ‘F’,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Record/File Viewable by Provider,,"If one of Record Viewable by Provider or File Viewable by Provider are blank, the other must not be blank","If one of Record Viewable by Provider or File Viewable by Provider are imported, the other must also be imported",,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,File Key,,"File Key does not adhere to XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX format (8,4,4,4,12 characters, respectively)",File Key must be a valid GUID,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Warning,,,File Key already linked to another record in the system is being linked to new record on import,File Key linked successfully but unlinked from [Record Type] - [Record Name],,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Warning,,,Record already has a File linked to it but is being updated to link to a new File on import,File Key linked successfully but record’s previous File Key ([File name]) has been unlinked,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,,,File Key entered is for a file belonging to another company or provider than the one being imported to,File Key invalid - does not belong to this company or provider,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,,,File Key entered does not match any File Key in the database,File not found,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,,,"File Key entered is for a file not related to at least one document (PSV or a report, etc.)",File type not able to be linked,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,,,File Key entered is a Signable Document or Packet attached to another record already,File already linked to another record and unable to be linked to a new record,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Ignore Required Fields Validation?,,"If not left empty, validate field must be Y or N",Ignore Required Fields Validation? must be Y or N,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Timestamp,,Date does not adhere to m/d/yyyy format OR date is invalid (ie - 9/31/2022),Timestamp must be formatted as m/d/yyyy,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Warning,User,,Column empty,"No User listed, so ""Credentialing System"" will be listed ",,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,,,Validate against Cred Spec emails,No User matches found ,,,,,,,,,,,,,,,,,,,,,,,,,,
