 ,Provider Appointment Dates Import Format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Provider Name,External ID,External ID Type,Location Name,Location Key,Workflow Type,Workflow Name,Workflow Key,Resolution,Appointment Date,Reappointment Date,Reappointment Notification Date,Inactive Date,Notes,Provider Category,,,,,,,,,,,,,,,,,,,
,File,Error,Inactive Date,,"Inactive is entered when Workflow Type is not ""Provider - Location Termination""","Inactive Date can only be input if Workflow Type is ""Provider - Location Termination""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,Notes,,"Notes are not provided when Resolution is ""Denied""",Notes required when Resolution is Denied,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,,,Notes exceed max character length,Notes must be 500 characters or less,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,Provider Category,,Provider Category does not match a value defined in company settings,Provider Category not supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,File,Error,External ID and External ID Type,,"User has provided only one of External ID and External ID Type, but not both.",Must provide both External ID and External ID Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,External ID,,External ID not provided by user,External Id required,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,External ID Type,,"External ID Type is not one of: NPI, InternalID, ProviderID, EmrID, and BillingSystemID",External ID Type not valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,External ID Type not provided by user,External Id Type required,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,External ID Type/External ID,,External ID does not match External ID of existing provider in company,No matching provider found,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Error,"NPI, Provider ID, Emr ID, Billing System ID, Internal ID",,ID matches the ID of an exisiting provider in company,[ID Type] matches the [ID Type] of an existing provider,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Import,Warning,"Provider data was updated, but provider is inactive",,,Provider was updated but is inactive.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
